File Path,Container,Video Codec,Resolution,File Size (MB),Audio Codec,Audio Channels
"/pool/Movies/The Legend of Ochi (2025)/The Legend of Ochi (2025) WEBDL-1080p 896536.mkv",mkv,hevc,1800x1080,1626,aac,6
"/pool/Movies/Harsh Times (2005)/Harsh Times (2005) Bluray-1080p 7873.mkv",mkv,hevc,1920x1040,3641,eac3,6
"/pool/Movies/Death Proof (2007)/Death Proof (2007) Bluray-1080p 1991.mkv",mkv,hevc,1920x818,5221,aac,6
"/pool/Movies/Batman (1989)/Batman (1989) AC3 2.0 ITA 5.1 ENG 1080p H265 sub NUita.eng Sp33dy94-MIRCrew.mkv",mkv,hevc,1920x1080,2805,ac3,2
"/pool/Movies/Happy Gilmore (1996)/Happy Gilmore (1996) Bluray-1080p 9614.mkv",mkv,hevc,1920x1080,1995,aac,6
"/pool/Movies/Futurama Into the Wild Green Yonder (2009)/Futurama Into The Wild Green Yonder (2009)  [1080p x265 q18 S100 Joy].mkv",mkv,hevc,1920x1080,1860,aac,6
"/pool/Movies/Trancers (1984)/Trancers (1984) Bluray-720p 5677.mkv",mkv,hevc,1280x720,987,aac,2
"/pool/Movies/Frogman (2023)/Frogman (2023) WEBRip-1080p 1139937.mkv",mkv,hevc,1920x1080,2044,eac3,6
"/pool/Movies/There Will Be Blood (2007)/There Will Be Blood (2007) Bluray-1080p 7345.mkv",mkv,av1,1920x800,3703,opus,6
"/pool/Movies/Seoul Station (2016)/Seoul Station (2016) Bluray-1080p 389868.mkv",mkv,hevc,1920x1036,2608,aac,6
"/pool/Movies/Minari (2020)/Minari (2020) (1080p BluRay x265 10bit Tigole).mkv",mkv,hevc,1920x804,5335,aac,6
"/pool/Movies/Step Brothers (2008)/Step Brothers (2008) Bluray-1080p 12133.mkv",mkv,hevc,1920x800,1491,aac,6
"/pool/Movies/Perfect Blue (2002)/Perfect.Blue.2002.dvdrip_[1.46]_[teko].avi",avi,mpeg4,704x448,1489,ac3,2
"/pool/Movies/The Agronomist/THE AGRONOMIST.avi",avi,mpeg4,720x540,1263,mp3,2
"/pool/Movies/Evil Dead Rise (2023)/Evil Dead Rise (2023) WEBRip-1080p 713704.mkv",mkv,hevc,1920x804,1944,eac3,6
"/pool/Movies/Escape from New York (1981)/Escape from New York (1981) (1080p BluRay x265 SAMPA).mkv",mkv,hevc,1920x816,5165,aac,2
"/pool/Movies/Napoleon (2023)/Napoleon (2023) WEBRip-1080p Proper 753342.mp4",mp4,hevc,1920x804,2965,aac,6
"/pool/Movies/A League of Their Own (1992)/A League of Their Own (1992) Bluray-1080p 11287.mkv",mkv,hevc,1920x796,6021,aac,6
"/pool/Movies/No One Will Save You (2023)/No One Will Save You (2023) WEBDL-1080p Proper 820609.mkv",mkv,hevc,1920x804,3845,eac3,6
"/pool/Movies/Hot Shots! Part Deux (1993)/Hot Shots! Part Deux (1993) Bluray-1080p 9255.mkv",mkv,hevc,1920x1040,5664,aac,4
"/pool/Movies/RoboCop (1987)/Robocop 1987 DC Remastered BR EAC3 VFF VO 1080p x265 10Bits T0M.mkv",mkv,hevc,1920x1038,4039,eac3,6
"/pool/Movies/Ponyo (2008)/Ponyo (2008) Bluray-1080p 12429.mkv",mkv,hevc,1920x1040,4575,eac3,8
"/pool/Movies/The Fifth Element (1997)/The Fifth Element (1997) Bluray-1080p 18.mkv",mkv,hevc,1918x804,1631,aac,6
"/pool/Movies/TRON Legacy (2010)/TRON Legacy (2010) (1080p WEB-DL x265 SAMPA).mkv",mkv,hevc,1920x1080,7295,eac3,8
"/pool/Movies/Suburban Gothic (2014)/Suburban Gothic (2014) Bluray-1080p 277688.mkv",mkv,hevc,1920x1080,2028,aac,6
"/pool/Movies/Bāhubali 2 The Conclusion (2017)/Bahubali 2 - The Conclusion (2017) 720p 10bit BluRay x265 HEVC Hindi DD 5.1 ESub ~ Immortal.mkv",mkv,hevc,1280x538,1878,ac3,6
"/pool/Movies/Streets of Fire (1984)/Streets of Fire (1984) Bluray-1080p 14746.mp4",mp4,hevc,1920x1036,1501,aac,6
"/pool/Movies/Andre Tarkovsky's Stalker (1979)/Stalker .mkv",mkv,hevc,1436x1080,1102,aac,2
"/pool/Movies/The Imposter (2012)/The Imposter (2012) (1080p BluRay x265 Silence).mkv",mkv,hevc,1920x816,3415,aac,6
"/pool/Movies/Galaxy Quest (1999)/Galaxy Quest (1999) Bluray-1080p 926.mkv",mkv,hevc,1920x1080,7310,aac,6
"/pool/Movies/Barb Wire (1996)/Barb Wire (1996) Unrated.mkv",mkv,hevc,1920x1036,4635,aac,6
"/pool/Movies/This Is the Tom Green Documentary (2025)/This Is the Tom Green Documentary (2025) WEBRip-1080p 1416904.mkv",mkv,hevc,1920x1080,1583,eac3,6
"/pool/Movies/Rick and Morty: Summer Meets God (2021)/Rick and Morty-Summer Meets God (Rick Meets Evil) 2021 MultiSub 720p x265-StB.mkv",mkv,hevc,1280x720,97,ac3,2
"/pool/Movies/The Boat That Rocked (2009)/Pirate.Radio.2009.1080p.BluRay.x265-RARBG.mp4",mp4,hevc,1920x814,2157,aac,6
"/pool/Movies/Midnight Express (1978)/Midnight Express (1978) Bluray-1080p 11327.mkv",mkv,hevc,1920x1040,4504,aac,6
"/pool/Movies/You People (2023)/You People (2023) WEBDL-1080p 866413.mkv",mkv,hevc,1920x1080,7016,eac3,6
